--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
41   1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  1  0  1  0  0  1  1  0  1  0  0  1  1  0  1  1  1  0  0  1  0  1  1  0  1 -327.75       1     0.0
42   1  0  1  1  1  1  0  0  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0  1  1  0  0  0  0  1  1  1  0 -327.75       1     0.0
43   1  1  0  1  0  1  0  1  0  0  1  0  0  1  1  1  0  1  0  0  0  1  0  1  0  1  1  1  1  0  1  0  0  1  1  0  1  0  1  0 -327.75       1     0.0
44   1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  0  1  1  1  0  0  0  1  0  0  0  1  0  0  0  1  1  0  0  1  0  1  1  1  0 -327.75       1     0.0
45   1  1  0  0  1  0  0  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  1  1  0  1  0  1  0  0  0  1  0  0  -327.0       1     0.0
46   1  0  1  0  0  1  0  0  1  0  1  0  1  1  0  1  0  1  1  0  0  1  1  0  0  0  1  1  1  0  0  1  0  0  1  0  1  1  1  0  -327.0       1     0.0
47   1  1  0  0  0  0  1  1  1  0  0  0  1  1  0  0  1  1  0  0  1  0  1  1  1  0  1  1  1  1  0  0  0  1  0  1  0  0  0  1  -327.0       1     0.0
437  1  0  1  1  1  1  0  0  1  0  0  0  1  1  0  1  0  1  0  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  1  0  0  1  1  -327.0       1    0.05
48   0  1  0  1  0  0  0  0  1  0  1  0  1  1  0  1  0  1  0  0  1  1  1  0  0  0  1  1  1  0  0  1  0  0  1  1  0  1  0  1 -326.75       1     0.0
49   1  0  0  1  1  1  0  0  0  0  1  0  0  1  1  1  0  1  1  1  0  1  1  1  0  0  1  0  1  1  0  1  0  1  0  0  1  0  0  1 -326.75       1     0.0
50   0  1  0  1  0  0  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  0  1  0  0  1  0  1  1  1  0  0  1  0  1  1  0  1  0 -326.75       1     0.0
51   1  1  0  0  1  1  0  0  1  1  1  0  1  1  0  1  0  1  0  1  1  0  1  0  1  0  1  0  0  1  1  1  0  0  0  0  0  1  0  1 -326.75       1     0.0
52   0  0  0  1  0  0  1  1  1  0  1  1  1  1  0  1  0  0  0  0  1  1  0  0  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0 -326.75       1     0.0
53   0  1  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  0  1  1  1  1  1  0  0  0  1  1  0  1  0  1  0  1  1 -326.75       1     0.0
54   0  1  0  0  0  0  1  1  1  1  1  1  1  1  0  0  1  1  0  0  1  0  0  0  1  1  1  0  1  1  1  0  0  1  1  1  0  0  0  0 -326.75       1     0.0
380  1  1  1  0  1  1  0  0  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  1  1  0  0  0  1  1  1  1 -326.75       1   0.025
55   0  1  1  0  1  0  0  1  1  0  0  0  0  1  0  0  0  1  1  0  1  0  1  1  1  0  1  1  1  1  0  1  0  0  0  0  1  1  0  1  -326.0       1     0.0
56   1  0  0  1  0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  1  0  1  0  0  0  1  0  1  1  1  1  0  0  0  1  1  1  0  1  -326.0       1     0.0
57   1  1  0  1  0  1  0  0  1  1  1  0  1  1  0  0  0  1  0  0  0  1  0  0  0  0  1  1  1  0  0  1  1  1  1  0  1  1  0  0  -326.0       1     0.0
58   1  1  0  0  1  1  0  0  0  1  0  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  1  0  1  0  1  1  1  0  0  1  1  0  0  -326.0       1     0.0
59   1  1  0  0  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  0  1  1  1  1  0  0  1  1  0  1  0  1  1  0  0  0  1  1  0  0  -326.0       1     0.0
60   1  1  0  0  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  1  1  0  1  1  0  1  0  1  1  0  0  0  1  1  0  0  -326.0       1     0.0
61   0  0  0  1  1  1  0  1  0  0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  0  1  1  1  0  1  0  1  1  0  1  1  1  1  0  1  -326.0       1     0.0
62   1  1  0  0  1  1  0  0  1  1  0  0  0  1  0  0  0  1  1  0  0  1  1  1  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  1  -326.0       1     0.0
63   1  1  0  1  1  1  0  0  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  0  1  1  0  0  0  0  1  1  1  0  0  1  0  1  0  -326.0       1     0.0
64   1  0  0  0  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  0  0  1  1  0  0  0  0  0  1  1  0  1  0  1  0  0  1  1  1  0  -326.0       1     0.0
65   1  0  0  1  1  1  0  0  0  1  0  0  0  1  0  0  0  1  1  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  0  0  1  1  1  1  -326.0       1     0.0
66   1  1  1  0  1  1  0  0  1  1  0  0  0  1  0  1  0  1  1  1  0  0  1  1  0  0  1  0  1  0  0  1  1  0  0  0  0  1  1  0  -326.0       1     0.0
67   0  1  0  0  0  0  0  1  1  0  0  0  1  1  0  1  1  1  0  0  1  1  0  1  0  1  1  1  1  1  0  0  1  0  1  1  0  0  0  1  -326.0       1     0.0
297  1  1  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  1  0  0  1  1  0  0  0  1  0  0  1  0  1  1  0  1  -326.0       1   0.025
388  0  1  0  1  1  1  0  0  1  0  1  1  1  1  0  1  0  1  0  0  1  0  0  0  0  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  -326.0       1   0.025
471  1  1  0  0  1  0  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0  1  1  1  0  1  0  1  1  1  0  0  0  0  1  0  1  0  0  -326.0       1    0.05
68   0  1  0  0  0  0  0  1  1  0  0  0  1  1  0  0  1  1  0  0  1  1  1  0  0  0  1  1  1  1  0  1  0  0  1  0  1  1  0  1 -325.75       1     0.0
69   1  0  0  0  1  1  1  1  1  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  0  0  1  0  0  0  0  1  1  0  0  0  1  1  0  1 -325.75       1     0.0
70   0  1  0  1  0  1  1  1  1  1  1  1  1  1  0  0  1  0  1  0  1  1  1  0  0  0  1  1  1  0  0  0  0  1  0  1  0  0  0  0 -325.75       1     0.0
71   1  1  0  0  1  1  0  1  0  0  0  0  0  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  1  0  1  1  0  1  0  1  1  0  0 -325.75       1     0.0
72   0  1  1  1  1  1  0  0  1  0  1  0  1  1  0  1  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  1  1  0  1  0  1  1  1  0 -325.75       1     0.0
73   1  0  1  1  1  1  0  0  1  1  1  0  0  0  1  1  0  1  1  0  0  1  1  0  1  0  0  0  0  0  0  1  0  1  0  0  1  1  1  1 -325.75       1     0.0
74   1  1  0  1  0  1  0  0  0  1  0  0  0  1  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  1  1  1  0  1  0  1  0 -325.75       1     0.0
75   1  0  1  1  1  1  1  0  0  0  0  0  0  1  1  0  0  1  0  1  0  1  1  0  0  1  1  0  1  0  1  1  1  0  0  1  0  0  1  1 -325.75       1     0.0
260  1  0  0  1  0  1  0  0  1  1  1  0  1  1  0  1  0  0  0  0  1  1  1  1  1  0  1  0  1  0  1  1  1  0  0  1  0  1  0  0 -325.75       1   0.025
76   0  0  0  1  0  1  0  1  1  0  1  0  1  1  0  1  1  1  0  0  1  1  1  0  1  1  1  1  0  0  0  1  0  1  0  0  0  0  0  1  -325.0       1     0.0
