--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
38   0  0  0  1  1  1  0  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  1  1  0  1  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -205.75       1     0.0
289  0  1  0  1  1  1  1  1  1  0  0  0  0  1  1  1  0  1  0  0  1  0  0  0  0  1  0  0  1  0  1  0  1  0  1  1  0  1  1  1 -205.75       1   0.025
39   0  0  0  1  0  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  1  1  -205.0       1     0.0
40   1  1  1  0  1  0  0  0  1  1  1  1  1  0  1  0  0  1  0  1  1  0  0  0  1  0  1  0  0  1  1  0  0  1  1  0  0  0  0  1  -205.0       1     0.0
41   1  0  1  0  0  0  0  1  0  1  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  1  0  0  1  0  0  0  0  0  0  -205.0       1     0.0
42   1  0  1  1  1  1  0  1  0  1  0  1  0  0  0  0  1  0  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  0  1  1  0  -205.0       1     0.0
43   0  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1  -205.0       1     0.0
44   0  0  1  0  1  0  0  1  0  1  1  1  1  1  1  0  1  0  0  0  0  0  1  1  0  1  1  1  0  0  0  0  0  0  1  0  1  1  0  0  -205.0       1     0.0
204  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  1  1  0  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  1  0  1  1  1  0  -205.0       1   0.025
219  1  0  1  0  0  1  1  0  1  1  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  0  0  0  0  1  1  1  1  1  0  0  0  0  0  0  -205.0       1   0.025
244  0  0  0  0  1  0  0  0  1  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  0  1  1  0  1  0  1  1  -205.0       1   0.025
45   0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  1  1  1  0  1  1  0  1  1  0  1  1  1 -204.75       1     0.0
46   1  0  0  0  1  0  0  0  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0 -204.75       1     0.0
47   1  0  1  0  0  1  0  1  0  1  1  0  1  1  0  0  0  0  1  1  0  1  1  1  0  1  0  0  0  1  1  0  0  0  1  0  1  1  0  0 -204.75       1     0.0
191  0  1  0  1  1  0  1  0  0  1  0  0  1  0  0  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  1  1 -204.75       1   0.025
220  1  1  1  0  0  1  1  1  0  0  0  1  0  1  1  1  0  1  0  1  1  0  1  1  0  1  0  0  0  0  0  1  0  1  0  1  0  0  0  0 -204.75       1   0.025
307  1  0  1  0  0  0  0  1  0  1  1  0  1  1  1  1  1  0  1  0  1  0  1  1  0  1  1  0  0  1  1  1  0  1  0  0  0  0  0  1 -204.75       1   0.025
48   0  1  0  1  1  1  1  0  1  0  1  0  1  1  1  0  1  0  0  0  1  0  0  0  1  0  1  0  1  0  0  1  1  1  1  0  0  0  0  1  -204.0       1     0.0
49   0  0  0  1  0  0  1  0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  0  1  1  0  0  0  0  1  -204.0       1     0.0
50   0  0  0  1  1  1  0  0  0  1  0  0  1  0  0  0  1  0  0  0  1  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  0  0  1  0  -204.0       1     0.0
51   0  1  0  1  0  1  1  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  0  0  1  0  0  0  1  1  1  1  1  0  1  0  0  0  1  1  -204.0       1     0.0
52   0  0  0  1  1  0  0  0  0  1  1  0  0  0  0  1  1  0  1  1  1  0  1  1  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  0  -204.0       1     0.0
305  0  0  0  0  1  0  0  1  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  1  0  1  0  1  0  0  0  1  0  0  1  0  1  1  1  0  -204.0       1   0.025
53   0  0  1  0  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  0  0  0  0  0  1  0  1  1  0  1  1  0  0  0  1  0  1  0  1  1 -203.75       1     0.0
54   1  0  0  1  1  1  0  0  0  1  0  1  0  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  1  1  1  1  0  0  0  0  0  0 -203.75       1     0.0
55   0  0  0  1  0  0  1  0  0  1  0  0  1  0  1  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  1  1  1  1  1  0  1  0  1  1 -203.75       1     0.0
56   0  0  0  1  1  1  0  0  0  1  0  0  1  0  0  0  1  0  1  0  1  0  0  0  0  1  1  1  1  1  0  1  1  1  1  0  0  1  1  0 -203.75       1     0.0
57   0  1  0  0  1  1  1  1  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  0  0  1  0  0  0  1  1 -203.75       1     0.0
58   1  1  1  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  1  0  0  0  1  0  0  0  0  1  1  0  0  1  1  0  0  0  0 -203.75       1     0.0
59   0  1  0  1  1  1  0  0  0  1  0  0  0  1  1  1  1  1  0  0  1  0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  0  1  0 -203.75       1     0.0
60   1  0  1  0  0  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  1  0  0  0  0  0  1  1  0  0  1  1  0  0  0  0 -203.75       1     0.0
161  0  0  0  1  1  0  0  0  1  1  1  0  1  0  1  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  1  0  1 -203.75       1   0.025
255  0  0  0  1  1  0  0  0  0  1  1  0  1  0  1  0  1  0  0  0  1  0  0  1  1  0  1  1  0  1  1  1  0  1  1  0  1  1  1  1 -203.75       1   0.025
310  1  1  0  1  0  1  1  1  0  0  0  0  0  1  1  0  0  1  0  1  1  1  1  1  0  1  0  0  0  0  1  1  1  0  1  1  0  0  1  0 -203.75       1   0.025
333  0  0  0  1  1  0  1  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  0  1  1  1  0  0  0  0  1 -203.75       1    0.05
61   0  0  1  1  1  0  0  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  1  0  1  1  1  1  0  1  0  0  0  1  1  -203.0       1     0.0
62   1  0  1  0  0  1  0  1  0  1  1  1  0  1  1  0  0  0  1  0  1  0  1  1  0  1  1  1  0  1  0  0  0  0  0  1  0  1  1  0  -203.0       1     0.0
63   0  1  0  1  1  1  1  0  0  0  0  0  0  0  0  0  0  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  0  1  1  0  1  0  1  1  -203.0       1     0.0
64   0  1  0  0  1  0  1  1  0  0  0  1  0  0  1  1  0  1  0  0  1  0  1  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  1  1  -203.0       1     0.0
65   0  1  0  1  0  0  1  1  0  0  0  0  1  0  1  0  0  1  1  1  1  1  0  0  1  1  0  1  1  1  0  1  0  1  1  0  1  1  0  1  -203.0       1     0.0
66   0  1  1  1  1  1  1  0  0  0  0  0  0  1  0  0  0  1  0  1  0  1  1  1  0  1  0  0  0  0  1  0  1  0  1  1  1  1  1  0  -203.0       1     0.0
67   0  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  -203.0       1     0.0
68   1  1  1  0  1  1  1  1  0  1  0  1  0  1  1  0  0  0  1  0  0  1  1  1  0  1  0  0  0  0  0  0  1  0  0  1  0  1  1  0  -203.0       1     0.0
69   1  0  1  1  0  1  1  0  1  1  0  0  0  1  0  0  0  0  1  1  0  1  1  1  0  1  0  0  0  1  1  0  0  0  1  1  0  1  1  0  -203.0       1     0.0
70   0  0  0  0  1  0  1  0  1  1  0  0  1  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  -203.0       1     0.0
71   0  1  0  1  1  0  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  1  1  1  -203.0       1     0.0
72   0  0  0  1  1  1  1  0  0  1  0  0  0  0  1  1  0  1  1  1  1  0  1  0  0  1  0  1  1  0  0  1  0  1  1  1  0  0  1  0  -203.0       1     0.0
73   0  0  1  1  0  1  1  1  1  1  1  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0  0  0  0  1  1  1  1  0  1  1  1  0  1  1  -203.0       1     0.0
74   0  1  0  0  1  1  1  1  0  1  0  1  0  0  0  0  0  0  1  1  1  1  1  1  0  1  0  1  1  0  1  0  0  0  0  0  1  1  1  0  -203.0       1     0.0
75   0  0  0  0  0  1  1  0  1  0  0  0  1  1  1  1  1  1  0  0  1  0  0  0  1  0  1  0  1  1  0  1  1  1  1  1  0  0  0  1  -203.0       1     0.0
76   1  0  1  0  1  1  0  0  0  1  1  1  0  0  0  0  1  0  1  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  0  1  1  0  -203.0       1     0.0
285  0  1  0  0  1  0  1  1  1  0  0  1  1  0  1  1  1  1  0  0  1  0  0  0  1  0  1  1  1  0  0  0  1  0  1  1  0  0  0  1  -203.0       1   0.025
478  0  0  0  0  1  0  0  0  1  1  1  1  1  1  1  1  1  1  0  0  1  0  0  0  1  0  1  1  0  0  0  1  1  0  1  0  0  0  1  1  -203.0       1   0.075
77   0  0  0  0  0  0  1  1  1  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  1  0  0  1  0  1  0  1  1 -202.75       1     0.0
78   1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  0  1  1  0  1  1  0  0  1  1  1  0  1  0  0  0  0  0  0 -202.75       1     0.0
79   0  0  0  1  1  0  0  0  0  1  1  1  1  0  0  1  1  1  0  0  1  0  1  0  1  0  1  1  0  0  0  1  0  0  1  0  1  0  1  1 -202.75       1     0.0
80   1  0  1  1  0  1  1  1  1  0  1  0  0  1  1  0  0  1  0  1  1  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  1  0  0  1 -202.75       1     0.0
81   0  1  0  1  0  0  1  1  1  0  0  1  0  0  0  1  1  1  0  1  1  1  0  0  1  0  0  1  0  0  1  0  0  0  1  0  1  0  1  1 -202.75       1     0.0
82   1  0  0  0  1  0  0  1  0  1  1  1  1  0  0  1  1  0  1  0  0  1  1  1  1  0  1  1  0  1  1  1  0  1  0  0  0  1  0  0 -202.75       1     0.0
83   1  1  1  0  1  1  1  1  0  1  0  0  0  1  0  0  0  0  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  1  1  1  0 -202.75       1     0.0
84   0  0  0  1  1  0  1  1  0  1  1  1  1  0  0  1  1  0  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0  0  1  0  0  1  1  0 -202.75       1     0.0
85   0  0  0  1  0  0  0  1  1  0  1  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  1  0  0  0  1  1 -202.75       1     0.0
86   0  1  0  1  0  1  1  1  0  0  0  0  0  0  1  0  0  1  1  1  1  0  1  0  0  1  0  1  1  1  1  0  0  1  1  0  0  1  1  1 -202.75       1     0.0
87   0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1  0  0  1  0  1  0  0  0  1  1  1  1  1  0 -202.75       1     0.0
88   0  0  1  0  0  1  1  1  1  1  0  1  0  1  0  1  0  0  1  1  1  1  1  1  1  0  0  0  0  0  1  1  1  0  1  1  1  0  1  0 -202.75       1     0.0
260  0  1  0  1  1  0  1  0  1  1  0  1  0  1  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  0  0  1  1  0  1  1  0  0  1  1 -202.75       1   0.025
335  0  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1 -202.75       1   0.025
344  0  1  1  0  0  0  1  1  1  1  0  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  1 -202.75       1   0.025
488  0  0  0  1  1  0  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  1  1 -202.75       1     0.1
89   1  1  0  0  0  1  1  1  0  1  0  0  0  1  0  1  0  0  1  0  0  0  1  1  0  1  1  1  1  0  0  0  1  1  0  1  0  1  1  0  -202.0       1     0.0
90   0  0  0  0  1  0  0  0  0  1  1  1  0  0  0  1  1  1  0  0  1  0  0  0  1  1  1  1  0  1  1  1  0  1  1  0  1  0  1  1  -202.0       1     0.0
91   0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  1  1  0  1  0  0  1  1  1  0  1  0  1  0  0  1  0  1  0  1  1  1  1  1  0  -202.0       1     0.0
92   1  0  1  1  0  1  1  1  0  1  0  1  0  1  0  1  0  0  1  1  0  1  1  1  0  0  0  0  0  0  1  0  0  0  1  1  0  1  1  0  -202.0       1     0.0
93   0  0  0  0  1  1  1  1  0  0  0  1  0  0  0  0  0  1  0  1  0  1  1  1  0  1  0  1  1  0  1  0  1  0  0  1  1  1  1  1  -202.0       1     0.0
94   0  0  1  0  1  0  0  0  0  1  1  1  1  1  0  1  1  0  1  0  1  0  1  1  1  0  1  1  0  0  1  1  0  1  0  1  0  0  0  0  -202.0       1     0.0
95   1  1  1  0  0  1  0  1  0  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  0  0  0  0  0  1  0  0  1  1  1  0  0  0  0  -202.0       1     0.0
96   1  0  1  1  1  0  0  1  0  1  0  0  1  0  0  1  1  0  1  1  0  1  1  1  0  1  0  1  0  1  1  1  0  1  0  0  1  1  0  0  -202.0       1     0.0
97   1  0  1  0  0  1  0  1  1  1  1  1  0  1  0  0  0  1  0  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  0  1  1  1  0  -202.0       1     0.0
243  0  0  0  0  1  0  1  0  1  1  1  1  1  0  1  1  1  0  0  0  1  0  0  0  1  0  1  1  1  1  0  0  1  0  1  0  0  0  1  1  -202.0       1   0.025
266  0  0  1  1  1  1  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  1  1  0  0  1  1  1  1  0  1  0  1  0  1  1  1  1  1  0  -202.0       1   0.025
271  1  0  1  0  0  1  0  1  0  1  1  0  0  1  0  1  0  1  0  1  0  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  1  1  1  0  -202.0       1   0.025
287  0  0  0  0  1  0  0  0  1  1  1  1  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  0  0  1  0  1  0  1  1  -202.0       1   0.025
290  0  0  0  1  1  0  1  0  1  1  1  0  1  1  0  1  1  0  1  0  1  0  1  1  0  0  1  1  0  0  0  1  1  0  1  0  1  0  0  0  -202.0       1   0.025
327  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  1  1  1  0  0  1  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  0  1  0  -202.0       1   0.025
334  1  0  1  0  0  1  1  1  1  1  0  0  0  1  1  1  1  0  0  1  1  1  1  1  1  0  0  0  0  1  1  1  1  1  0  0  0  0  0  0  -202.0       1   0.025
437  1  0  1  1  0  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  1  0  1  0  0  0  0  0  1  1  1  1  1  1  0  0  0  0  -202.0       1    0.05
98   0  0  0  1  0  1  1  0  1  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  0  1  1  1  1  1  1  1  0  0  0  1  1 -201.75       1     0.0
