--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
48   0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       7      0.0
49   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  0  0  0  -190.0       2      0.0
50   0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
51   0  1  1  0  0  1  1  1  1  1  1  0  1  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
52   0  1  1  0  0  0  1  1  1  1  0  0  0  1  1  1  1  1  0  1  1  0  1  1  0  0  0  0  0  1  -190.0       1      0.0
53   0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
54   0  1  1  0  0  1  1  1  1  1  1  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
55   0  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -190.0       1      0.0
206  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0  -190.0       1 0.033333
214  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1 0.033333
235  0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1 0.033333
369  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1 0.033333
411  0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -190.0       1 0.066667
415  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -190.0       1 0.066667
421  0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  0  0  0  -190.0       1 0.066667
56   0  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  0  0  0  0  0 -189.25       1      0.0
57   0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -189.25       1      0.0
58   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  0  1  1  0  0  0  0  0  0 -189.25       1      0.0
59   0  1  0  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0 -189.25       1      0.0
60   0  1  1  1  0  1  1  1  1  0  1  0  0  0  1  0  1  1  0  1  1  0  1  0  0  0  0  1  0  0 -189.25       1      0.0
61   0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -189.25       1      0.0
62   0  1  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -189.25       1      0.0
63   1  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  0  0  1  0  0  1  1  1  1  1  1 -189.25       2      0.0
64   0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0 -189.25       1      0.0
65   0  1  0  1  0  1  1  1  1  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0 -189.25       1      0.0
66   0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  1  0  0  0 -189.25       1      0.0
67   0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  1  1  1  1  1  0  1  0  1  0  0  0  0  0 -189.25       1      0.0
68   0  1  1  0  0  1  1  1  1  0  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  0  0  0  0  0 -189.25       1      0.0
69   0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -189.25       3      0.0
70   0  1  1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0 -189.25       1      0.0
71   0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0 -189.25       1      0.0
237  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0 -189.25       1 0.033333
248  0  1  1  1  0  1  1  1  1  1  0  0  1  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -189.25       1 0.033333
287  0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -189.25       1 0.033333
291  1  1  0  0  1  0  0  0  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1 -189.25       1 0.033333
316  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  1  0 -189.25       1 0.033333
374  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0 -189.25       1 0.066667
386  0  1  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  1  0  0 -189.25       1 0.033333
72   0  0  1  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -189.0       1      0.0
73   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  1  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -189.0       2      0.0
74   0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  0  0  0  1  0  0  -189.0       1      0.0
75   0  1  1  1  0  1  1  1  1  0  1  1  0  0  1  0  1  0  1  0  1  0  1  0  0  0  0  0  0  0  -189.0       1      0.0
76   0  0  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  0  0  0  0  0  0  0  0  0  -189.0       1      0.0
77   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  -189.0       1      0.0
78   0  1  1  0  0  1  1  1  1  0  1  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0  -189.0       1      0.0
79   0  1  1  0  0  0  1  1  1  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  -189.0       1      0.0
80   0  1  1  1  0  0  1  1  1  1  0  0  0  1  1  1  1  1  0  0  1  0  1  0  0  0  0  0  0  0  -189.0       1      0.0
81   0  1  1  0  0  1  1  1  1  0  1  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0  -189.0       1      0.0
82   0  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0  -189.0       1      0.0
238  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -189.0       1 0.033333
285  0  1  1  1  0  0  1  1  1  1  0  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -189.0       1 0.033333
345  0  1  1  1  0  1  1  1  1  0  1  1  1  0  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  -189.0       1 0.033333
83   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  0  0  0  0  0  1  0  0 -188.25       1      0.0
84   0  1  1  0  0  1  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -188.25       1      0.0
85   1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  0  0  1  1  0  1  0  0  0  0  0  0  0 -188.25       1      0.0
86   0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  1  1  1  0  0  1  0  1  0  0  0  0  0  0  0 -188.25       2      0.0
87   0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -188.25       2      0.0
88   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -188.25       1      0.0
89   0  1  1  1  0  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -188.25       1      0.0
90   0  1  1  0  0  0  1  1  1  1  0  0  1  1  0  0  1  1  1  1  1  0  1  1  0  0  0  0  0  0 -188.25       1      0.0
91   0  1  1  0  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0 -188.25       1      0.0
92   0  1  1  0  0  0  1  1  1  1  1  0  0  1  1  1  0  1  0  0  1  0  1  1  0  1  0  0  0  0 -188.25       1      0.0
93   0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0 -188.25       1      0.0
94   0  1  0  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  1  0 -188.25       1      0.0
301  0  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  0  1  0 -188.25       1 0.033333
343  0  1  0  1  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -188.25       1 0.033333
366  1  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  0  0  1  0  0  0  0  0  0 -188.25       1 0.033333
95   0  1  1  1  0  1  1  1  1  1  0  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  -188.0       1      0.0
96   0  1  1  0  0  1  1  1  1  1  0  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -188.0       1      0.0
97   0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0  -188.0       2      0.0
98   0  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  1  -188.0       1      0.0
99   0  0  1  1  0  1  1  1  1  0  1  1  0  1  1  0  1  1  0  0  1  0  1  0  0  0  0  0  0  0  -188.0       1      0.0
100  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  0  0  1  0  1  1  0  1  1  0  0  0  0  0  0  -188.0       1      0.0
101  0  1  1  1  0  1  0  1  1  0  0  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0  -188.0       1      0.0
102  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -188.0       3      0.0
103  0  1  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
104  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
105  0  1  1  1  0  1  0  1  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
106  0  1  1  1  0  0  1  1  1  1  1  1  1  1  1  1  0  1  0  0  1  0  1  0  0  0  0  0  0  0  -188.0       1      0.0
107  0  1  1  1  0  1  0  1  1  0  1  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
108  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  1  1  0  -188.0       1      0.0
109  0  1  1  0  0  1  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
110  0  1  0  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  1  0  1  0  1  0  0  0  0  1  0  0  -188.0       1      0.0
111  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  0  1  0  -188.0       1      0.0
112  0  1  1  0  0  0  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  0  1  1  0  0  0  0  0  0  -188.0       1      0.0
265  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -188.0       1 0.033333
286  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  1  1  1  0  1  1  0  1  0  0  0  0  0  0  0  -188.0       1 0.033333
317  0  1  1  0  0  0  1  1  1  1  1  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  0  0  0  0  -188.0       1 0.033333
318  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0  -188.0       1 0.033333
333  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0  -188.0       1 0.033333
334  0  1  0  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  0  1  1  1  0  0  0  0  0  1  0  -188.0       1 0.033333
348  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -188.0       1 0.033333
349  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0  -188.0       1 0.033333
359  0  1  0  0  1  0  0  0  0  0  1  1  1  0  0  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1  -188.0       1 0.033333
114  1  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  1  1 -187.25       1      0.0
115  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  1 -187.25       1      0.0
116  0  1  1  1  0  1  1  1  1  0  0  1  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  0 -187.25       3      0.0
117  0  1  1  1  0  1  1  1  1  0  1  1  0  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -187.25       1      0.0
118  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0 -187.25       1      0.0
119  0  1  1  1  0  1  1  0  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  0  0  0  0  0 -187.25       1      0.0
120  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  0  1  1  1  1  0  1  0  0  0  0  0  0  0 -187.25       1      0.0
121  0  1  1  1  1  0  1  1  1  0  0  0  0  1  0  1  1  1  0  1  1  1  1  0  0  0  0  0  0  0 -187.25       1      0.0
122  0  1  1  1  0  1  1  1  1  0  0  0  1  0  1  1  1  1  0  0  1  0  1  0  0  0  1  0  0  0 -187.25       1      0.0
123  0  1  1  1  0  1  1  1  1  0  0  1  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  0  0  0 -187.25       1      0.0
124  0  0  0  1  0  1  1  1  0  0  1  1  1  0  1  0  0  1  1  1  1  0  1  0  0  0  0  1  1  0 -187.25       1      0.0
125  0  1  1  1  0  1  1  1  1  0  1  1  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -187.25       4      0.0
126  0  1  0  1  1  1  1  0  1  0  0  1  0  1  0  1  1  0  0  0  0  1  1  0  1  1  1  0  0  0 -187.25       1      0.0
127  0  1  1  1  0  0  1  1  1  1  0  0  0  1  0  0  1  1  1  1  1  0  1  1  0  0  0  0  0  0 -187.25       1      0.0
128  0  1  1  1  0  0  1  1  1  1  1  0  1  0  1  1  1  1  1  0  1  0  1  0  0  0  1  0  0  0 -187.25       1      0.0
129  0  1  0  1  0  1  1  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  1  0 -187.25       1      0.0
130  0  1  1  0  0  1  1  1  1  1  1  1  0  1  0  0  1  1  1  0  1  0  1  0  0  0  0  0  0  0 -187.25       1      0.0
131  0  1  0  1  0  1  0  1  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  0  0  0  1  0  1  0 -187.25       1      0.0
132  0  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  0  1  1  1  0  0  0  0  0  1  0 -187.25       1      0.0
133  1  0  0  0  0  0  0  0  0  1  1  1  1  0  1  1  0  0  0  1  0  1  0  1  1  1  1  1  0  1 -187.25       1      0.0
134  0  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  1  1  0  0  1  1  1  0  0  0  0  0  1  0 -187.25       1      0.0
