--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
294  0  1  1  0  0  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  1  1  1  0  1  1  0  -247.0       1 0.033333
433  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  0  1  1  1  1  1  0  0  1  0  0  1  1  0  -247.0       1 0.066667
39   0  1  1  1  1  0  0  1  1  1  0  1  0  1  0  1  0  1  0  0  0  0  0  0  1  0  1  1  0  1 -246.25       1      0.0
40   0  1  0  1  1  1  0  1  1  0  0  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1 -246.25       1      0.0
41   0  1  1  1  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  1  0  1  1  0  0  0  1  0 -246.25       1      0.0
42   0  1  1  1  1  1  0  0  1  0  1  0  0  1  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  0 -246.25       1      0.0
43   0  1  0  0  0  1  0  0  1  1  0  1  1  1  0  1  0  0  0  1  1  1  0  0  0  1  0  1  1  1 -246.25       1      0.0
44   1  1  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  1  1  1  1  0  1  1  1  1  1  1  0 -246.25       1      0.0
45   0  1  1  0  1  0  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  1  1  1  0 -246.25       1      0.0
46   0  1  1  1  1  0  0  0  1  0  0  1  1  1  1  0  0  0  1  1  0  1  0  1  1  0  0  1  0  0 -246.25       1      0.0
47   1  0  0  1  1  0  1  1  1  1  0  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  1  0  0  1 -246.25       1      0.0
48   0  1  1  0  0  0  0  0  1  0  0  0  0  1  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  1 -246.25       1      0.0
49   0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  1  1  0  0  1  1  1  0  1  0  0  0  1  1  0 -246.25       1      0.0
50   0  0  1  1  0  1  1  0  1  1  0  1  0  0  1  0  0  1  1  1  1  0  0  1  1  0  0  1  0  0 -246.25       1      0.0
51   0  1  1  0  1  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -246.25       1      0.0
52   0  1  1  0  0  1  0  0  1  0  0  1  1  1  0  1  0  0  1  0  1  1  0  1  1  0  0  1  1  0 -246.25       1      0.0
254  0  1  1  0  0  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -246.25       1 0.033333
269  0  1  0  1  1  1  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  0  0  0  1  1  0 -246.25       1 0.033333
291  0  1  1  1  1  1  0  0  0  0  0  1  0  1  1  0  0  1  0  1  1  0  0  0  1  1  0  1  1  0 -246.25       1 0.033333
311  0  1  0  1  1  0  1  0  0  0  1  0  1  0  1  1  0  0  1  1  1  1  0  0  1  0  0  1  1  0 -246.25       1 0.033333
339  0  1  1  0  0  0  0  0  1  1  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -246.25       1 0.033333
341  0  1  0  0  1  1  0  1  0  0  1  0  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -246.25       1 0.066667
367  0  1  1  1  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0 -246.25       1 0.033333
394  0  1  1  0  1  1  0  0  1  0  0  0  1  1  0  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -246.25       1 0.066667
413  0  1  1  0  1  1  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -246.25       1 0.066667
455  0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  0  0  0  1  1  1  1  0  1  1  1  0  1  1  0 -246.25       1 0.066667
53   0  1  0  1  1  0  0  0  1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  1  1  1  1  0  -246.0       1      0.0
54   0  1  1  1  0  0  1  1  1  0  0  0  0  1  0  0  0  0  0  1  1  0  0  1  1  0  1  1  0  1  -246.0       1      0.0
55   0  1  1  0  0  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -246.0       1      0.0
56   0  1  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  1  1  1  1  1  0  1  1  1  0  1  1  0  -246.0       1      0.0
57   0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  1  1  1  1  0  1  1  1  1  1  1  0  -246.0       1      0.0
58   0  1  0  1  1  0  0  1  0  0  0  0  1  1  1  0  0  0  0  1  1  0  0  0  1  1  1  1  1  0  -246.0       1      0.0
59   0  1  0  0  0  0  1  0  1  1  0  1  1  0  0  0  0  1  1  1  1  1  0  1  0  0  0  1  1  0  -246.0       1      0.0
60   0  1  1  1  0  0  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0  -246.0       1      0.0
61   0  1  0  1  1  0  0  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  0  1  0  0  1  1  1  1  -246.0       1      0.0
62   0  1  1  0  1  0  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  1  1  -246.0       1      0.0
63   0  1  1  1  1  1  0  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  0  0  1  0  1  1  1  0  -246.0       1      0.0
251  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  1  0  1  1  0  0  1  1  0  -246.0       1 0.033333
272  0  1  1  1  1  0  1  0  1  0  0  0  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0  -246.0       1 0.033333
310  0  1  0  0  1  1  1  0  0  1  1  1  0  0  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  -246.0       1 0.033333
370  0  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -246.0       1 0.033333
377  0  1  0  0  1  1  0  0  0  0  1  0  1  1  0  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0  -246.0       1 0.066667
495  1  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  1  1  1  1  1  1  1  0  0  1  1  0  -246.0       1      0.1
64   0  1  0  0  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  1  1  1  1  0  0  1  1  0 -245.25       1      0.0
65   0  1  0  0  1  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0 -245.25       1      0.0
66   0  1  1  1  1  1  0  0  0  0  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -245.25       1      0.0
67   0  1  0  0  0  1  0  1  1  0  1  1  0  1  0  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0 -245.25       1      0.0
68   0  1  1  1  1  0  0  0  0  0  0  1  1  0  1  0  0  0  1  1  1  1  0  1  0  0  1  1  1  0 -245.25       1      0.0
69   0  0  1  1  0  1  1  0  1  0  0  1  0  0  1  0  0  1  1  1  1  1  0  1  0  0  0  1  1  0 -245.25       1      0.0
70   0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0 -245.25       1      0.0
71   0  1  0  1  1  0  0  1  0  0  1  1  1  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0 -245.25       1      0.0
270  0  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  1  1  1  1  1  0  1  0  0  0  1  1  0 -245.25       1 0.033333
279  0  1  0  0  1  0  0  0  0  0  1  1  1  1  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -245.25       1 0.033333
299  0  1  0  0  1  1  0  0  0  0  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1 -245.25       1 0.033333
314  0  1  1  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -245.25       1 0.033333
