--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59  energy num_oc. chain_b.
9    0  1  0  1  1  1  0  1  1  1  1  0  1  0  0  1  0  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  0  0  1  1  1  0  1  0  0  0  0  0  0  0  1  0  1  0  1  1  -690.0       1      0.0
83   0  0  0  1  1  1  1  1  0  1  0  0  1  0  1  0  1  1  0  1  1  1  1  0  0  0  0  0  1  0  1  1  1  1  1  1  1  1  0  0  1  0  0  0  0  0  0  1  0  0  1  0  1  1  0  1  1  0  0  0  -690.0       1 0.016667
143  1  0  1  1  0  0  1  1  1  0  0  1  0  0  0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  1  1  0  0  1  1  0  1  1  0  1  0  0  0  0  0  1  1  0  1  1  0  1  1  0  1  1  1  0  0  -690.0       1     0.05
190  1  1  0  1  1  1  0  0  0  1  1  1  1  0  1  1  0  1  1  0  1  0  0  0  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  1  0  1  1  0  0  0  0  0  0  1  0  1  0  -690.0       1     0.05
10   0  1  1  1  1  1  1  1  1  1  1  1  0  1  0  0  0  0  1  0  0  0  0  1  0  1  0  1  0  0  1  1  1  1  0  1  1  1  1  0  1  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  1  0  1  1 -689.75       1      0.0
109  0  1  1  1  1  1  0  0  0  0  0  0  1  0  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  1  1  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  0  0  1  0  0  1  1  0  1  0  1  0  0  0 -689.75       1 0.033333
167  1  0  1  1  1  0  1  1  1  0  0  1  0  0  0  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  1  1 -689.75       1     0.05
12   1  1  1  0  1  1  0  1  1  1  0  1  1  0  0  0  0  0  1  1  1  1  0  1  0  0  1  0  1  0  0  1  1  0  1  1  1  0  1  0  0  0  0  1  0  0  1  0  0  0  1  0  0  1  1  0  1  0  1  0  -689.0       1      0.0
13   1  0  0  1  1  1  1  0  0  1  0  0  1  0  1  1  1  1  1  0  1  0  0  0  1  0  0  1  1  1  0  1  0  0  0  1  1  1  1  1  1  0  0  0  1  0  1  1  0  1  1  0  0  0  0  1  1  0  0  1  -689.0       1      0.0
14   1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  1  0  1  1  1  1  0  1  0  0  0  1  1  1  0  1  1  0  1  0  1  0  1  1  0  0  0  1  1  0  1  1  1  0  1  0  1  0  1  1  0  0  1  0 -688.75       1      0.0
15   0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  0  1  0  1  1  1  0  1  0  0  0  0  1  1  0  1  0  1  1  1  1  1  0  1  0  0  0  1  1  1  1  0  0  0  0  0  0  0  0  0  1  1  0  1  0 -688.75       1      0.0
40   0  1  0  0  1  1  0  1  0  1  1  0  1  0  1  0  1  0  1  1  1  1  1  0  1  1  0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  0  1  1  1  0  0  0  0  1  0  0  0  0  1  0  1  1 -688.75       1 0.016667
136  0  1  0  1  0  1  1  1  1  0  1  1  1  0  1  0  0  1  1  0  1  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  1  0  1  1  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  1  1  0 -688.75       1 0.033333
16   0  0  1  1  0  0  1  1  1  0  0  1  0  0  0  1  1  0  1  1  1  1  0  0  0  0  0  1  1  1  0  1  0  1  1  0  1  1  0  0  0  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  1  0  0  0  -688.0       1      0.0
17   1  1  0  0  0  0  1  1  0  1  1  1  0  0  0  0  1  0  1  1  1  1  0  1  0  0  1  1  0  0  0  1  1  0  1  0  0  0  1  0  1  0  1  1  1  0  1  0  0  0  1  0  0  1  1  1  1  0  1  0  -688.0       1      0.0
18   0  1  0  1  1  0  0  1  0  1  1  0  0  0  1  0  0  1  0  0  1  0  1  0  1  1  0  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  0  0  1  1  1  0  0  1  1  1  0  1  0  1  1  0  0  1 -687.75       1      0.0
53   0  1  1  1  1  1  0  1  0  1  1  1  1  1  1  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  0  0  0  1  1  1  0  1  0  0  1  0  0  0  0  1  0  0  0  0  1  1  0  1  0  0  1  0  1  0 -687.75       1 0.016667
19   1  1  0  1  1  1  1  0  1  0  0  1  1  0  1  1  0  1  1  0  1  1  0  1  0  0  0  0  1  0  0  1  0  1  1  1  1  1  1  1  0  0  1  1  1  0  0  0  0  0  1  0  1  0  0  0  0  0  1  1  -687.0       1      0.0
20   1  0  0  1  1  1  0  0  0  1  1  0  0  0  1  0  1  1  0  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  1  0  1  1  0  1  0  0  0  1  1  1  0  0  0  1  0  0  0  0  1  1  0  1  1  -687.0       1      0.0
21   1  1  0  1  1  1  0  1  0  0  0  0  0  0  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  1  1  1  0  1  1  1  1  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0  1  1  1  0  1  -687.0       1      0.0
65   0  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  1  1  1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  1  1  1  1  1  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  1  0  0  1  0  0  0  -687.0       1 0.016667
118  0  1  0  1  0  1  0  1  0  0  0  1  1  0  1  0  1  0  0  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  1  1  0  0  1  1  1  1  1  0  1  1  1  0  0  1  0  0  0  0  0  0  1  0  1  1  -687.0       1 0.033333
173  0  1  0  1  1  1  0  0  0  1  0  1  1  1  1  1  1  0  0  1  0  1  1  1  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  0  0  0  0  0  1  1  1  0  0  0  0  1  0  0  1  0  0  0  1  0  -687.0       1     0.05
197  1  0  0  0  0  0  0  1  1  0  0  1  0  0  0  1  1  0  1  1  1  0  0  1  1  0  1  1  1  0  0  1  0  1  1  0  1  0  1  0  0  0  1  1  0  0  1  0  1  1  1  0  0  0  1  1  1  0  0  0  -687.0       1     0.05
267  1  0  1  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  1  0  1  0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  1  0  0  0  1  0  0  1  1  0  0  1  1  1  0  0  1  1  -687.0       1 0.083333
306  0  1  0  1  1  1  0  1  0  1  1  0  1  0  1  0  1  1  0  1  0  1  1  0  0  0  0  1  1  0  1  0  0  1  1  1  1  0  1  1  1  0  1  0  0  1  1  0  0  0  1  1  0  0  0  0  1  0  1  1  -687.0       1      0.1
22   0  1  0  1  0  0  1  1  0  0  0  1  0  0  0  0  1  0  1  0  1  0  0  1  0  0  1  0  1  1  1  1  1  1  1  0  0  1  1  0  0  0  0  1  1  0  1  0  1  0  0  0  0  1  1  1  1  0  1  1 -686.75       1      0.0
60   0  1  0  1  1  1  0  1  0  1  1  0  1  0  0  0  0  1  0  1  1  1  1  0  0  1  0  1  0  0  1  1  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  1  0  1  1 -686.75       1 0.016667
125  0  1  1  1  1  1  0  0  0  1  1  1  1  0  0  0  1  1  1  1  1  1  1  0  0  0  0  1  1  0  0  1  0  0  1  1  1  1  0  1  1  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  1  0  0  0 -686.75       1 0.033333
147  0  1  0  1  1  1  0  1  0  0  1  1  1  0  1  0  1  1  1  0  0  1  0  0  0  0  0  1  0  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  1  1  1  0  0  0  0  0  0  1  1  1  0  0  0  0 -686.75       1 0.033333
263  0  1  0  1  1  1  0  0  0  1  1  0  1  0  1  0  1  1  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  1  0  1  0 -686.75       1 0.083333
23   0  1  1  0  1  1  1  1  1  1  1  0  1  1  1  0  1  1  1  1  0  0  0  0  0  1  0  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  1  0  0  0  -686.0       1      0.0
77   0  1  0  1  1  1  1  1  0  0  1  0  0  0  0  0  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  1  1  1  0  0  1  1  1  0  0  1  0  0  0  0  0  1  1  0  1  0  -686.0       1 0.016667
87   1  1  1  1  0  0  1  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  0  1  1  0  1  1  1  1  1  0  0  0  1  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  0  0  1  0  1  0  1  0  0  1  -686.0       1 0.016667
150  1  1  0  0  0  0  1  0  1  0  0  1  1  0  0  0  1  1  0  0  1  0  0  1  0  1  0  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  1  1  1  0  1  0  0  0  0  0  1  0  0  0  0  0  1  1  -686.0       1 0.033333
169  0  1  0  1  1  1  1  0  0  1  1  0  1  0  1  0  1  1  0  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  1  0  0  1  1  1  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  1  0  1  0  -686.0       1     0.05
194  1  1  0  1  1  1  0  1  0  0  0  1  1  0  0  0  0  1  0  1  1  1  1  0  0  0  0  0  1  0  0  1  1  0  1  1  1  1  1  1  1  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  1  0  1  1  -686.0       1     0.05
233  0  1  1  1  0  1  0  1  0  1  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  0  0  0  1  0  1  0  1  1  1  0  0  1  0  1  1  1  0  1  1  1  0  0  0  1  1  1  0  1  0  0  0  0  0  0  -686.0       1 0.066667
236  1  0  1  0  1  0  1  1  1  0  0  0  0  1  0  1  1  0  0  1  1  1  0  0  0  0  1  1  0  1  1  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  1  1  0  1  1  0  1  1  1  0  1  1  1  0  -686.0       1 0.066667
388  0  1  0  1  1  1  0  0  0  1  1  1  1  0  1  0  0  1  0  0  0  1  1  0  0  0  0  0  1  0  1  0  1  1  1  1  0  0  1  1  1  0  0  0  1  1  1  0  0  0  0  1  0  1  0  0  1  0  1  0  -686.0       1     0.15
24   0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  0  1  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  0  1  0  0  1  0  0  0  0  1  0  0  0  0  1  0  1  1 -685.75       1      0.0
67   0  0  1  1  0  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  1  1  0  1  1  1  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1  0  0  0  1  0  1  0  0  1  0  0  0  1  0  1  1  0  0  0 -685.75       1 0.016667
121  0  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  1  1  1  1  1  0  0  0  0  0  1  0  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  1  1  1  0  0  0  0  0  0  1  0  0  1  0  1  0 -685.75       1 0.033333
180  1  1  0  1  0  1  1  0  0  1  1  0  1  1  1  0  1  1  0  1  1  1  1  0  0  1  0  0  1  0  0  0  1  1  0  1  0  0  0  1  1  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  1  1  0 -685.75       1     0.05
252  1  1  0  1  1  1  0  1  0  1  1  0  1  0  1  0  0  1  1  1  1  0  1  1  0  0  0  0  1  0  0  0  1  1  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  1  0  0  0  0  1  1  1  0  1  1 -685.75       1 0.066667
271  0  1  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  1  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  1  1  1  0  0  1  1  1  0  1  0  1  1  1  0  0  1  1  1  0  0  0  1  1  0  1  0 -685.75       1 0.083333
25   1  0  0  1  1  1  0  1  0  0  1  1  0  0  0  0  0  1  1  1  1  0  0  0  0  1  0  0  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  0  0  1  0  1  0  0  1  0  0  1  0  1  0  0  1  0  -685.0       1      0.0
26   0  1  0  1  1  1  0  1  0  1  1  0  0  0  0  0  1  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  1  0  0  1  -685.0       1      0.0
133  0  1  1  0  1  1  1  1  0  1  1  0  0  0  1  0  1  1  0  1  1  0  1  0  0  1  0  1  1  0  1  1  0  0  1  1  0  0  0  1  1  0  0  0  1  1  1  0  0  1  0  0  0  0  0  1  1  0  0  1  -685.0       1 0.033333
328  0  1  0  1  1  1  0  1  0  1  1  1  1  1  1  1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  0  1  1  0  0  0  0  0  1  1  0  0  1  1  0  0  0  1  0  0  0  1  0  0  1  0  1  0  -685.0       1      0.1
380  0  1  1  1  1  1  0  1  0  1  1  0  1  1  1  0  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  0  1  1  1  0  0  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  -685.0       1 0.133333
124  1  1  0  1  1  1  0  1  1  1  1  0  1  1  1  1  0  0  1  0  0  0  1  0  0  1  0  1  1  0  1  1  0  0  1  1  1  0  0  0  1  0  0  1  0  1  1  0  0  0  0  1  0  1  1  0  1  0  0  0 -684.75       1 0.033333
138  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  1  1  1  1  0  1  1  0  0  0  1  0  0  1  0  1  0  0  0  1  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  1  1  1  1 -684.75       1 0.033333
