--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
18   0  1  1  1  1  1  0  0  1  0  0  0  0  1  0  0  0  1  1  1  0  0  1  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  0  1 -438.75       1     0.0
19   1  0  1  1  0  1  0  0  1  1  1  0  0  1  0  0  0  0  0  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  1  1  0  0  0  0 -438.75       1     0.0
88   0  1  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  0  0  0  0 -438.75       1   0.025
145  1  0  0  0  1  0  1  0  1  0  0  1  1  0  1  1  1  1  1  0  1  1  0  0  0  1  0  1  0  1  0  1  0  0  0  0  1  1  1  1 -438.75       1    0.05
188  0  1  1  1  0  1  0  0  1  0  1  0  0  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  0  1  1  1  0  0  1  1  0  0  0  0 -438.75       1    0.05
214  0  1  1  1  0  1  0  0  1  1  0  0  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1  0  1  0  0 -438.75       1    0.05
20   1  0  0  0  1  0  1  1  0  0  0  1  1  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  -438.0       1     0.0
21   0  1  1  0  1  1  1  0  0  0  1  0  1  1  0  0  0  1  0  1  1  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  0  0  0  1  -438.0       1     0.0
66   0  1  1  1  0  1  0  1  0  1  1  0  0  1  1  0  0  0  0  0  0  0  1  1  1  0  1  0  0  1  1  1  1  1  1  1  0  0  0  0  -438.0       1   0.025
124  1  0  0  0  1  1  1  1  1  0  0  1  1  0  0  0  1  0  1  0  1  1  0  0  0  1  1  1  1  1  0  0  0  0  0  0  0  1  1  1  -438.0       1   0.025
128  1  0  0  0  1  0  0  0  1  0  1  0  1  1  0  1  1  1  1  0  1  1  1  0  0  0  0  1  1  1  0  1  0  0  0  0  0  1  1  1  -438.0       1   0.025
135  0  1  1  0  0  1  1  1  0  1  0  0  0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  1  1  1  0  0  1  1  1  1  0  1  0  0  -438.0       1   0.025
357  1  0  0  0  1  0  1  1  1  0  0  1  1  0  0  1  1  0  1  1  1  1  1  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  1  1  -438.0       1     0.1
22   1  1  0  0  0  0  1  1  1  0  0  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  0  1  1  1  0  0  0  1  0  0  0  1  1  1 -437.75       1     0.0
23   1  0  1  1  0  1  0  0  0  1  1  0  1  1  0  0  0  1  1  1  1  1  0  1  0  1  1  0  0  1  1  0  0  0  1  1  1  0  0  0 -437.75       1     0.0
78   0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  0  0  0  1  1  0  1  1  0  0  1  0  0  0  1  0  1  1  1  1  0  0  0  0 -437.75       1   0.025
100  0  1  1  1  0  1  0  1  1  1  1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  1  1  0  1  1  1  1  1  0  0  1 -437.75       1   0.025
137  0  1  1  1  0  1  0  0  1  1  1  0  0  0  0  0  0  1  0  1  1  1  1  1  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  0 -437.75       1   0.025
