--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
113  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  0  0  0  1  1  1  1  1  -122.0       1      0.0
114  0  1  1  0  1  0  1  1  0  1  1  0  0  1  1  0  0  0  0  0  1  1  0  0  0  1  1  0  0  1  -122.0       1      0.0
115  1  0  0  1  1  0  1  0  0  1  0  0  1  1  1  0  1  1  1  0  0  0  1  0  0  1  1  1  1  0  -122.0       1      0.0
434  0  0  1  1  0  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  0  0  1  0  0  1  1  0  -122.0       1 0.033333
116  1  0  1  0  0  1  0  0  1  0  1  0  0  0  1  0  0  1  1  1  1  0  1  1  0  1  1  0  0  1 -121.25       1      0.0
117  1  0  0  1  0  1  0  0  0  0  0  1  1  0  1  1  1  1  1  1  0  0  1  1  0  0  0  1  0  1 -121.25       1      0.0
118  1  0  0  1  0  1  0  0  0  0  0  0  1  0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  0  1 -121.25       1      0.0
119  1  0  1  0  1  1  0  0  0  0  0  1  1  0  1  0  0  1  1  0  1  0  0  1  0  1  1  1  0  1 -121.25       1      0.0
120  0  1  0  0  0  1  0  0  0  0  0  0  1  0  1  1  0  1  1  0  1  1  1  1  0  0  1  1  0  0 -121.25       1      0.0
121  1  1  0  1  1  0  1  0  1  1  0  0  1  0  1  0  0  1  1  0  0  0  1  0  0  1  1  1  0  0 -121.25       1      0.0
122  1  1  0  1  0  0  1  0  0  0  0  1  1  0  1  0  1  1  1  0  0  1  1  1  0  1  1  1  0  1 -121.25       1      0.0
123  1  1  1  1  0  0  0  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  1  0  0  1  1  1  0  0 -121.25       1      0.0
124  0  1  0  1  1  1  1  0  0  1  0  0  1  0  1  1  1  1  1  0  0  0  1  0  0  1  1  0  0  0 -121.25       1      0.0
125  0  1  1  1  1  0  0  0  0  1  0  1  1  0  1  1  1  1  0  0  0  0  1  1  0  0  0  1  1  0 -121.25       1      0.0
126  0  0  1  0  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  1  1  0  1  0  1  1  1  0  1 -121.25       1      0.0
127  1  0  1  0  1  0  1  1  0  1  1  1  0  1  0  0  0  0  1  0  1  0  0  0  0  1  1  1  0  1 -121.25       1      0.0
128  0  1  0  1  1  0  1  0  0  1  0  0  1  0  1  1  1  1  0  0  0  0  1  0  0  0  0  1  1  0 -121.25       1      0.0
129  0  1  0  1  1  1  0  0  0  0  0  1  1  0  1  1  0  1  1  1  0  0  0  1  0  0  1  1  0  1 -121.25       1      0.0
130  0  1  0  1  1  1  0  0  1  0  0  1  1  0  1  0  0  1  1  0  1  0  0  1  1  0  0  1  1  0 -121.25       1      0.0
131  0  1  1  0  1  1  0  0  1  0  1  0  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  0  1 -121.25       1      0.0
132  0  0  1  0  1  1  1  1  0  1  1  0  0  1  0  0  1  0  0  0  1  1  1  0  0  1  1  0  0  1 -121.25       1      0.0
133  1  0  1  0  0  1  1  1  0  1  1  0  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  0  0  1 -121.25       1      0.0
134  0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  1  0  0  1  0  1  1  0  0  0  1  1  1  0  1 -121.25       1      0.0
135  0  1  0  1  1  0  1  1  0  1  1  0  1  0  1  0  1  0  0  0  0  1  1  0  0  1  0  1  0  1 -121.25       1      0.0
469  1  0  1  0  1  0  0  1  1  0  0  1  0  1  1  1  0  1  1  0  1  0  0  1  0  1  1  1  0  1 -121.25       1 0.033333
136  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  -121.0       1      0.0
137  1  0  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  1  1  1  1  1  0  0  -121.0       1      0.0
138  0  0  0  1  1  0  1  0  0  1  0  1  1  1  1  0  0  1  1  1  0  0  1  0  0  1  1  1  0  1  -121.0       1      0.0
139  0  0  1  0  0  1  0  1  0  0  0  1  0  0  1  1  0  1  1  1  1  0  0  1  0  0  1  1  0  1  -121.0       1      0.0
140  1  0  0  1  1  0  1  0  0  0  0  1  1  1  1  0  0  1  1  0  0  0  0  0  0  1  1  1  0  1  -121.0       1      0.0
141  0  1  0  1  0  1  1  0  0  0  0  1  1  0  1  0  0  1  1  0  1  0  1  1  0  0  1  1  0  0  -121.0       1      0.0
142  0  1  0  1  0  1  0  0  1  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  0  0  0  1  1  1  -121.0       1      0.0
143  1  0  1  0  0  1  0  0  1  0  1  0  0  1  1  1  1  1  0  1  0  0  1  0  0  1  0  0  0  1  -121.0       1      0.0
144  0  1  1  0  1  1  0  1  1  0  0  1  0  0  0  1  0  1  0  1  1  0  0  1  0  0  0  0  1  1  -121.0       1      0.0
145  1  0  1  0  0  1  0  1  1  0  0  1  0  0  0  0  1  1  0  1  1  0  0  1  1  1  0  1  1  1  -121.0       1      0.0
146  1  0  1  0  1  0  1  1  0  1  0  0  0  1  1  1  0  0  0  0  1  1  0  0  0  1  1  0  0  1  -121.0       1      0.0
147  0  1  1  0  1  1  0  0  1  0  1  0  0  1  1  1  0  1  0  0  1  1  0  0  0  1  1  1  0  1  -121.0       1      0.0
